trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1;tukey_lambda;last_task_accuracy_name1;last_task_accuracy_name2;last_task_accuracy_name3;average_last_task_accuracy;average_accuracy_name1;average_accuracy_name2;average_accuracy_name3;average_of_average_accuracy
3989;63,60;47;4;0,82;1,47;0,42;63.58000183105469;63.089996337890625;63.159996032714844;63.27666473388672;71.60887654622395;72.31046803792317;71.12522633870442;71.68152364095052
2614;63,58;45;4;0,84;1,65;0,42;63.529998779296875;63.12999725341797;63.18000030517578;63.279998779296875;71.55426661173503;72.31470362345378;71.21032969156902;71.69309997558594
3907;63,56;47;4;0,85;1,53;0,44;63.54999542236328;63.08000183105469;63.13999938964844;63.256665547688804;71.56183751424153;72.36269251505534;71.14771270751953;71.6907475789388
2609;63,55;45;4;0,84;1,65;0,42;63.529998779296875;63.12999725341797;63.18000030517578;63.279998779296875;71.55426661173503;72.31470362345378;71.21032969156902;71.69309997558594
7702;63,52;46;4;0,83;1,41;0,43;63.47999572753906;63.08000183105469;63.099998474121094;63.21999867757162;71.63504536946614;72.35921478271484;71.12109756469727;71.70511923895941
