trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1;last_task_accuracy_name1;last_task_accuracy_name2;last_task_accuracy_name3;average_last_task_accuracy;average_accuracy_name1;average_accuracy_name2;average_accuracy_name3;average_of_average_accuracy
514;87,1699982;26;1;6,116585218;7,797607497;87.16999816894531;87.16999816894531;87.16999816894531;87.16999816894531;91.3266487121582;91.21045684814453;90.81243743896485;91.11651433308919
401;87,159996;26;1;4,958226162;0;87.15999603271484;87.15999603271484;87.15999603271484;87.15999603271484;91.29604949951172;91.19337768554688;90.7695098876953;91.08631235758465
4790;87,159996;26;1;6,157106168;8,113546305;87.15999603271484;87.15999603271484;87.15999603271484;87.15999603271484;91.32328643798829;91.20834503173828;90.80598068237305;91.1125373840332
5688;87,0999985;23;1;7,635300294;9,638267071;87.0999984741211;87.0999984741211;87.0999984741211;87.0999984741211;91.24908447265625;91.13371276855469;90.73764877319336;91.0401486714681
4623;87,1699982;26;1;6,122437601;8,101230677;87.16999816894531;87.16999816894531;87.16999816894531;87.16999816894531;91.3266487121582;91.21045684814453;90.81243743896485;91.11651433308919
