shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy;last_task_accuracy_name1;last_task_accuracy_name2;last_task_accuracy_name3;average_last_task_accuracy;average_accuracy_name1;average_accuracy_name2;average_accuracy_name3;average_of_average_accuracy
10;10;1;2;63,2472915649414;63.880104064941406;63.946712493896484;63.247291564941406;63.6913693745931;70.65447540283203;69.80365409851075;69.38791198730469;69.94868049621583
9,43241547441622;0;1;2;63,1473770141601;63.880104064941406;63.980018615722656;63.147377014160156;63.669166564941406;70.64308547973633;69.89090042114258;69.3446273803711;69.95953776041667
10;0;1;3;62,9475479125976;63.896759033203125;63.513736724853516;62.947547912597656;63.45268122355143;70.69977569580078;69.57025260925293;69.17324256896973;69.81442362467448
10;0;1;7;62,7643661499023;62.88093185424805;63.44712829589844;62.764366149902344;63.030808766682945;70.07017097473144;69.5454475402832;69.0269989013672;69.54753913879395
9,47727267686593;8,36400179374255;1;2;63,1473770141601;63.896759033203125;63.96336364746094;63.147377014160156;63.669166564941406;70.65869369506837;69.87044906616211;69.33947296142578;69.95620524088542
