method_name, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
FeLoC, 83.19604612850083, 79.08256880733944, 75.05882352941177, 72.64110297285653, 69.5258019525802, 67.29559748427673, 66.78176795580112, 65.89397298931668, 65.19114688128774, 64.22980849292257
FeLoC, 82.70181219110378, 78.80733944954127, 73.11764705882354, 72.25333907798363, 68.86331938633194, 66.88542521192234, 66.20626151012891, 65.95444466841363, 65.24602158404976, 64.31307243963363
FeLoC, 81.21911037891269, 76.60550458715596, 72.11764705882354, 71.60706591986212, 69.70013947001394, 67.15887339349193, 66.32136279926335, 65.34972787744407, 64.4411926102067, 63.680266444629474

FeNeC, 83.196044921875, 79.08256530761719, 74.99999237060547, 72.64110565185547, 69.52580261230469, 67.24090576171875, 66.75874328613281, 65.89397430419922, 65.17285919189453, 64.17984771728516
FeNeC, 82.7018051147461, 78.7155990600586, 72.99999237060547, 72.12408447265625, 68.75871276855469, 66.74870300292969, 66.22928619384766, 65.93428039550781, 65.24602508544922, 64.32972717285156
FeNeC, 81.21910858154297, 76.51376342773438, 72.11764526367188, 71.6932373046875, 69.7350082397461, 67.15887451171875, 66.32135772705078, 65.3497314453125, 64.47777557373047, 63.71357345581055

FeCAM, 83.1960439682006836, 79.0825664997100830, 75.0000000000000000, 72.6411044597625732, 69.5258021354675293, 67.2409057617187500, 66.7357265949249268, 65.8536612987518311, 65.1545643806457520, 64.1465425491333008
FeCAM, 82.7018141746520996, 78.8073420524597168, 73.0588257312774658, 72.1240818500518799, 68.7587141990661621, 66.7487025260925293, 66.1602199077606201, 65.8939719200134277, 65.1911497116088867, 64.2964184284210205
FeCAM, 81.2191128730773926, 76.5137612819671631, 72.1764683723449707, 71.6501533985137939, 69.7001397609710693, 67.1315312385559082, 66.2983417510986328, 65.3295695781707764, 64.4228994846343994, 63.6636137962341309
