trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1;tukey_lambda
466;72,36;50;6;0,986394356;0,714232381;0,399225128
470;72,36;50;6;1,049558608;0,646619666;0,401933915
473;72,36;50;6;1,049231568;0,646140166;0,40181158
474;72,36;50;6;1,049946616;0,646320207;0,401963251
762;72,36;50;6;1,138796409;0,698553677;0,398340158
774;72,36;50;6;1,132757849;0,666441894;0,39795094
793;72,36;50;6;1,142847718;0,777201632;0,399524547
794;72,36;50;6;1,140395497;0,775018493;0,399785288
877;72,36;50;6;1,091254587;0,672475793;0,407517444
887;72,36;50;6;1,226297959;0,720589154;0,399834775
890;72,36;50;6;1,22593523;0,719774008;0,399827379
892;72,36;50;6;1,184576709;0,821095001;0,393892293
899;72,36;50;6;1,09874762;0,639587278;0,405384011
911;72,36;50;6;1,175063299;0,827528758;0,392625293
949;72,36;50;6;1,205568508;0,878905288;0,383349611
953;72,36;50;6;1,159915432;0,859977532;0,394940491
967;72,36;50;6;1,252258989;0,821688391;0,397863269
1111;72,36;50;6;1,213561545;0,761611757;0,400834993
1153;72,36;50;6;1,282982781;0,83090008;0,397463193
1225;72,36;50;6;1,103636029;0,5;0,410538423
1229;72,36;50;6;0,997348011;0,635805737;0,389696947
1246;72,36;50;6;1,004835595;0,644054086;0,389888817
1258;72,36;50;6;1,078139693;0,5;0,404916815
1283;72,36;50;6;1,06100319;0,6867116;0,387399048
1441;72,36;50;6;1,021541474;0,808495195;0,392045968
1607;72,36;50;6;1,338565205;0,8498195;0,393263731
1608;72,36;50;6;1,338017996;0,850251356;0,393296528
1613;72,36;50;6;1,344786469;0,693862537;0,388601433
2270;72,36;50;6;1,31650603;0,695453325;0,411908579
3104;72,36;50;6;1,214307526;0,678589965;0,41027783
3446;72,36;50;6;1,334000335;0,714426287;0,390287382
3501;72,36;50;6;1,332094063;0,710447319;0,39014615
3624;72,36;50;6;1,208879322;0,657876761;0,404466722
3644;72,36;50;6;1,334282385;0,675350559;0,385562032
3915;72,36;50;6;1,309695836;0,702023591;0,384666021
4122;72,36;50;6;1,301988656;0,700108853;0,384743746
4185;72,36;50;6;1,279079984;0,691266423;0,395200452
4233;72,36;50;6;1,269945045;0,83729448;0,414254578
5647;72,36;31;4;1,14520655;0,5;0,342653651
160;72,34;50;6;1,166042099;0,5;0,410422141
212;72,34;50;6;1,299348852;0,764318864;0,388203853
320;72,34;50;6;1,325955369;0,699258384;0,363401206
358;72,34;50;6;1,279359982;0,655071014;0,382189783
368;72,34;50;6;1,354645117;0,731969481;0,356468447
423;72,34;50;6;1,271099784;0,713248018;0,358161698
424;72,34;50;6;1,271437633;0,713150355;0,358249289
425;72,34;50;6;1,272009194;0,712877151;0,358337892
426;72,34;50;6;1,273054545;0,712177089;0,358414773
427;72,34;50;6;1,278139143;0,707493488;0,35830383
452;72,34;50;6;1,259964419;0,699638386;0,388631658
461;72,34;50;6;1,304861702;0,715878781;0,353092287
462;72,34;50;6;1,306096961;0,716249405;0,353209066
465;72,34;50;6;0,988424196;0,715059592;0,398812283
559;72,34;50;6;1,073725458;0,5;0,395039077
644;72,34;50;6;1,265479514;0,5;0,378400277
645;72,34;50;6;1,265846824;0,5;0,378355262
676;72,34;50;6;1,259203336;0,627435288;0,402929541
771;72,34;50;6;1,131786811;0,665564053;0,397986209
811;72,34;50;6;1,226421667;0,826811135;0,391080328
844;72,34;50;6;1,216785037;0,81712621;0,391959739
849;72,34;50;6;1,158437173;0,623885713;0,388192711
852;72,34;50;6;1,223100094;0,694725891;0,400006998
874;72,34;50;6;1,107956624;0,766725759;0,404768891
884;72,34;50;6;1,2480512;0,852400952;0,387073104
885;72,34;50;6;1,256232947;0,857871134;0,385710605
913;72,34;50;6;1,14065309;0,825269075;0,399784999
917;72,34;50;6;1,268598478;0,927312814;0,384455752
947;72,34;50;6;1,188026294;0,885735824;0,389415804
950;72,34;50;6;1,237568539;0,827097018;0,398137947
956;72,34;50;6;1,2446626;0,831997094;0,397809197
968;72,34;50;6;1,006282612;0,5;0,391523023
969;72,34;50;6;1,253892162;0,82295179;0,397748069
970;72,34;50;6;1,254074821;0,823084866;0,397719126
1003;72,34;50;6;1,20704326;0,856149906;0,380845153
1027;72,34;50;6;1,066665949;0,5;0,398459216
1071;72,34;50;6;1,174703723;0,81823928;0,384501145
1077;72,34;50;6;1,369424703;0,706097704;0,377948423
1079;72,34;50;6;1,369947191;0,704216917;0,377555102
1117;72,34;50;6;1,207710316;0,747841862;0,400640841
