tukey_lambda;shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy
0,430109719;1,219452114;1,67153706;6;38;52,93999863
0,44569676;1,111214709;1,549579025;6;38;52,93999863
0,446007873;1,110967778;1,546064654;6;38;52,93999863
0,465603112;0,939827722;1,057766117;4;44;52,93999863
0,465493707;0,937076332;1,055212646;4;44;52,93999863
0,425113144;1,170113888;1,625272238;6;40;52,93999863
0,427282415;1,022009769;1,580671903;8;28;52,93999863
0,427415161;1,019568764;1,577894604;8;28;52,93999863
0,439815176;1,198782366;1,640457857;8;36;52,93999863
0,42042716;0,958341129;1,615117887;6;27;52,93999863
0,432672097;1,09684242;2;8;42;52,92999649
0,449133492;1,321850828;1,637188862;6;42;52,92999649
0,41609415;0,952230549;1,285953478;6;27;52,92999649
0,448847121;1,152740711;1,392735154;6;38;52,92999649
0,445818511;1,111065835;1,548074965;6;38;52,92999649
0,444275759;1,250013807;2;6;38;52,92999649
0,44795185;1,133104198;1,594910025;6;30;52,92999649
0,422758961;1,069732347;1,095404782;6;30;52,92999649
0,424823462;1,173028007;1,607106217;6;40;52,92999649
0,420764798;1,077449725;2;6;30;52,92999649
0,441058289;1,206219547;1,660531196;6;40;52,92999649
0,439882293;0,983396633;1,603991945;5;29;52,92999649
0,443422175;1,234186476;1,613259109;7;40;52,92999649
0,439365255;1,257587409;2;6;40;52,92999649
0,456724667;0,972817789;1,588870849;4;42;52,92999649
0,432466669;1,09693321;2;8;42;52,91999435
0,432891345;1,097677578;2;8;42;52,91999435
0,444748302;1,252101609;1,674691751;7;42;52,91999435
0,471131018;1,090320745;1,594445471;6;43;52,91999435
0,460235063;1,157723252;1,648412945;6;37;52,91999435
0,421152014;1,022694827;2;6;31;52,91999435
0,410319882;0,954399792;1,542769196;6;27;52,91999435
0,44056469;1,237032681;1,639095297;6;37;52,91999435
0,443925902;1,256939687;1,642337037;6;38;52,91999435
0,446202976;1,233685189;1,640137649;7;38;52,91999435
0,438111561;1,248212626;1,671234575;7;38;52,91999435
0,447947015;1,155054556;1,411803393;6;38;52,91999435
0,447971406;1,154836713;1,413202178;6;38;52,91999435
0,444172452;1,249325106;2;6;38;52,91999435
0,444218705;1,249653714;2;6;38;52,91999435
0,452224195;1,162859438;2;6;37;52,91999435
0,485741001;1,012439192;1,454506692;4;44;52,91999435
0,425529927;1,229563986;2;6;38;52,91999435
0,444993304;0,944675071;1,553394098;6;30;52,91999435
0,438861019;1,098326279;1,290708213;6;40;52,91999435
0,43747226;0,995431191;1,605954623;5;29;52,91999435
0,433417195;1,054655349;1,617926976;6;32;52,91999435
0,420563177;1,175763636;1,564223673;4;36;52,91999435
0,434789051;1,082107519;1,595372389;8;28;52,91999435
0,434144506;1,100014135;2;8;42;52,90999985
0,44491777;1,247740515;1,674514852;7;42;52,90999985
0,452028458;1,138577825;1,635095165;5;42;52,90999985
0,4389884;1,054178599;1,422631979;4;33;52,90999985
0,457727321;1,149242072;1,633157263;6;43;52,90999985
0,460071384;1,157048772;1,649329968;6;37;52,90999985
