weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.2897734375,8.828125,6.484375,13,16,54.1400032043457
uniform,0.4146484375,2.578125,7.734375,15,18,60.09000015258789
distance,0.9141484375,7.578125,2.734375,5,8,53.46999740600586
uniform,0.6643984375,0.078125,5.234375,20,3,2.259999990463257
uniform,0.1648984375,5.078125,0.234375,10,13,54.78999710083008
uniform,0.2273359375,4.453125,5.859375,4,2,57.269996643066406
distance,0.7268359375,9.453125,0.859375,14,12,49.839996337890625
distance,0.9765859375,1.953125,8.359375,9,17,53.03999710083008
distance,0.4770859375,6.953125,3.359375,19,7,51.099998474121094
distance,0.3522109375,0.703125,2.109375,16,9,62.1199951171875
distance,0.8517109375,5.703125,7.109375,6,19,56.209999084472656
uniform,0.6019609375,3.203125,4.609375,11,14,57.68000030517578
uniform,0.1024609375,8.203125,9.609375,1,4,53.39999771118164
distance,0.0712421875,3.515625,1.171875,19,16,51.98999786376953
uniform,0.5707421875,8.515625,6.171875,9,6,53.63999557495117
distance,0.8204921875,1.015625,3.671875,14,1,56.970001220703125
distance,0.3209921875,6.015625,8.671875,4,11,58.63999557495117
distance,0.4458671875,2.265625,7.421875,2,14,60.10000228881836
distance,0.9453671875,7.265625,2.421875,12,4,48.33000183105469
uniform,0.6956171875,4.765625,9.921875,7,9,56.790000915527344
distance,0.1961171875,9.765625,4.921875,17,19,52.499996185302734
distance,0.1336796875,0.390625,9.296875,11,8,1.850000023841858
uniform,0.6331796875,5.390625,4.296875,1,18,58.189998626708984
distance,0.8829296875,2.890625,6.796875,16,13,55.540000915527344
distance,0.3834296875,7.890625,1.796875,6,3,51.72999954223633
distance,0.2585546875,4.140625,3.046875,8,5,55.970001220703125
uniform,0.7580546875,9.140625,8.046875,18,15,51.36000061035156
uniform,0.5083046875,1.640625,0.546875,3,20,60.880001068115234
distance,0.0088046875,6.640625,5.546875,13,10,30.669998168945312
uniform,0.01270703125,3.3203125,2.9296875,4,19,35.400001525878906
uniform,0.51220703125,8.3203125,7.9296875,14,9,53.619998931884766
uniform,0.76195703125,0.8203125,0.4296875,9,4,58.16999816894531
uniform,0.26245703125000003,5.8203125,5.4296875,19,14,54.71999740600586
uniform,0.38733203125,2.0703125,9.1796875,17,11,59.41999435424805
uniform,0.88683203125,7.0703125,4.1796875,7,1,54.70000076293945
distance,0.63708203125,4.5703125,6.6796875,12,6,53.63999557495117
distance,0.13758203125000001,9.5703125,1.6796875,2,16,53.79999923706055
distance,0.20001953125,0.1953125,7.3046875,6,10,1.7799999713897705
distance,0.69951953125,5.1953125,2.3046875,16,20,52.810001373291016
uniform,0.94926953125,2.6953125,9.8046875,1,15,49.55999755859375
distance,0.44976953125,7.6953125,4.8046875,11,5,52.63999557495117
uniform,0.32489453125,3.9453125,1.0546875,13,2,56.409996032714844
uniform,0.82439453125,8.9453125,6.0546875,3,12,55.87999725341797
uniform,0.57464453125,1.4453125,3.5546875,18,17,60.369998931884766
distance,0.07514453125000001,6.4453125,8.5546875,8,7,54.93000030517578
distance,0.10636328125,1.7578125,1.9921875,12,14,54.73999786376953
distance,0.60586328125,6.7578125,6.9921875,2,4,56.839996337890625
uniform,0.85561328125,4.2578125,4.4921875,17,9,51.08000183105469
uniform,0.35611328125,9.2578125,9.4921875,7,19,57.05999755859375
uniform,0.48098828125,3.0078125,5.7421875,10,17,59.7400016784668
distance,0.98048828125,8.0078125,0.7421875,20,7,46.119998931884766
distance,0.73073828125,0.5078125,8.2421875,5,2,4.579999923706055
uniform,0.23123828125,5.5078125,3.2421875,15,12,54.35000228881836
distance,0.16880078125,4.8828125,7.6171875,19,5,54.98999786376953
uniform,0.66830078125,9.8828125,2.6171875,9,15,53.45000076293945
uniform,0.91805078125,2.3828125,5.1171875,14,20,56.849998474121094
distance,0.41855078125,7.3828125,0.1171875,4,10,54.81999969482422
distance,0.29367578125,1.1328125,3.8671875,1,8,61.53999710083008
distance,0.79317578125,6.1328125,8.8671875,11,18,54.6099967956543
uniform,0.54342578125,3.6328125,1.3671875,6,13,57.12000274658203
uniform,0.043925781250000004,8.6328125,6.3671875,16,3,46.13999938964844
uniform,0.05953515625,0.6640625,9.9609375,15,16,16.779998779296875
uniform,0.55903515625,5.6640625,4.9609375,5,6,56.61000061035156
distance,0.80878515625,3.1640625,7.4609375,20,1,58.18000030517578
uniform,0.30928515625,8.1640625,2.4609375,10,11,52.96999740600586
distance,0.43416015625,4.4140625,3.7109375,8,13,57.73999786376953
uniform,0.93366015625,9.4140625,8.7109375,18,3,52.70000076293945
uniform,0.68391015625,1.9140625,1.2109375,3,8,59.929996490478516
distance,0.18441015625,6.9140625,6.2109375,13,18,55.13999938964844
distance,0.24684765625,2.5390625,0.5859375,17,7,55.13999938964844
distance,0.74634765625,7.5390625,5.5859375,7,17,55.519996643066406
uniform,0.99609765625,0.0390625,3.0859375,12,12,5.859999656677246
uniform,0.49659765625,5.0390625,8.0859375,2,2,58.48999786376953
distance,0.37172265625,1.2890625,6.8359375,4,4,59.0099983215332
uniform,0.87122265625,6.2890625,1.8359375,14,14,50.529998779296875
distance,0.62147265625,3.7890625,9.3359375,9,19,58.34000015258789
distance,0.12197265625,8.7890625,4.3359375,19,9,51.23999786376953
uniform,0.09075390625,4.1015625,5.2734375,2,11,54.529998779296875
distance,0.59025390625,9.1015625,0.2734375,12,1,51.72999954223633
uniform,0.84000390625,1.6015625,7.7734375,7,6,53.28999710083008
distance,0.34050390625,6.6015625,2.7734375,17,16,53.22999954223633
distance,0.46537890625,0.3515625,1.5234375,20,19,60.5099983215332
distance,0.96487890625,5.3515625,6.5234375,10,9,52.48999786376953
distance,0.71512890625,2.8515625,4.0234375,15,4,55.54999542236328
uniform,0.21562890625,7.8515625,9.0234375,5,14,56.529998779296875
uniform,0.15319140625,2.2265625,4.6484375,8,3,57.12999725341797
distance,0.65269140625,7.2265625,9.6484375,18,13,52.84000015258789
uniform,0.90244140625,4.7265625,2.1484375,3,18,55.81999969482422
distance,0.40294140625,9.7265625,7.1484375,13,8,52.79999923706055
uniform,0.27806640625,3.4765625,8.3984375,11,10,59.32999801635742
distance,0.77756640625,8.4765625,3.3984375,1,20,55.909996032714844
distance,0.52781640625,0.9765625,5.8984375,16,15,56.88999938964844
uniform,0.028316406250000002,5.9765625,0.8984375,6,5,39.02000045776367
uniform,0.02051171875,1.9921875,5.9765625,19,6,35.790000915527344
uniform,0.52001171875,6.9921875,0.9765625,9,16,53.57999801635742
uniform,0.76976171875,4.4921875,8.4765625,14,11,54.429996490478516
uniform,0.27026171875,9.4921875,3.4765625,4,1,52.27000045776367
uniform,0.39513671875,3.2421875,2.2265625,1,3,59.29999923706055
distance,0.89463671875,8.2421875,7.2265625,11,13,52.05999755859375
uniform,0.64488671875,0.7421875,4.7265625,6,18,51.69999694824219
distance,0.14538671875,5.7421875,9.7265625,16,8,54.779998779296875
uniform,0.20782421875,3.8671875,4.1015625,12,17,58.57999801635742
uniform,0.70732421875,8.8671875,9.1015625,2,7,56.04999542236328
distance,0.95707421875,1.3671875,1.6015625,17,2,57.099998474121094
distance,0.45757421875,6.3671875,6.6015625,7,12,57.33000183105469
distance,0.33269921875,0.1171875,7.8515625,10,14,1.3499999046325684
distance,0.83219921875,5.1171875,2.8515625,20,4,50.519996643066406
uniform,0.58244921875,2.6171875,5.3515625,5,9,59.71999740600586
uniform,0.08294921875,7.6171875,0.3515625,15,19,53.63999557495117
distance,0.11416796875,2.9296875,8.7890625,7,1,56.5
uniform,0.61366796875,7.9296875,3.7890625,17,11,51.43000030517578
distance,0.86341796875,0.4296875,6.2890625,2,16,6.5799994468688965
uniform,0.36391796875,5.4296875,1.2890625,12,6,51.89999771118164
distance,0.48879296875,1.6796875,2.5390625,14,9,59.439998626708984
uniform,0.98829296875,6.6796875,7.5390625,4,19,55.63999938964844
distance,0.73854296875,4.1796875,0.0390625,19,14,50.41999816894531
distance,0.23904296875,9.1796875,5.0390625,9,4,51.65999984741211
uniform,0.17660546875,1.0546875,0.6640625,5,12,59.15999984741211
