weight,shrinkage_alpha_0,knn_k,kmeans_k,last_task_accuracy
uniform,6.471350104636252,1,9,86.98999786376953
uniform,6.472381102825192,1,9,86.98999786376953
distance,5.718478708468066,1,3,86.47999572753906
uniform,6.471819490134689,1,9,86.98999786376953
uniform,6.473009903034321,1,9,86.98999786376953
uniform,6.474238731734179,1,9,86.98999786376953
uniform,6.474964493594454,1,9,86.98999786376953
uniform,6.477072338091784,1,9,86.98999786376953
uniform,6.477176690376481,1,9,86.98999786376953
uniform,6.480565077269759,1,9,86.98999786376953
uniform,6.482248617217006,1,9,86.97999572753906
distance,3.014936336879895,20,3,86.53999328613281
distance,8.352199937454577,20,9,85.58999633789062
uniform,4.2657090471772445,20,20,86.3499984741211
distance,10.0,1,9,86.69999694824219
distance,6.505339884217227,1,9,86.97999572753906
distance,3.5807557784723176,1,10,86.77999877929688
uniform,1.913505011331458,1,9,86.4699935913086
uniform,6.4629027346515695,1,9,86.98999786376953
uniform,6.46514644331048,1,9,86.98999786376953
distance,3.734848806337289,13,15,86.42999267578125
uniform,6.469598791050436,1,9,86.98999786376953
uniform,6.475021610466306,1,9,86.98999786376953
distance,4.0109381469674465,1,18,86.54999542236328
distance,9.379937580010942,14,15,86.37999725341797
uniform,2.9195277597266447,1,20,86.49999237060547
uniform,7.743230739317593,1,5,86.77999877929688
distance,8.685930502930248,1,5,86.67999267578125
uniform,6.478511408039443,1,9,86.98999786376953
uniform,6.4832614166882605,1,9,86.97999572753906
distance,6.410675136762455,1,9,86.97999572753906
distance,6.829745553878191,1,17,86.62999725341797
distance,10.0,20,3,86.39999389648438
distance,4.902193536741194,1,16,86.70999908447266
distance,4.663759687452198,1,4,86.60999298095703
distance,8.424688335440132,20,3,86.43999481201172
uniform,6.4485357378027,1,9,86.98999786376953
uniform,6.446941197523554,1,9,86.98999786376953
distance,7.16148614140669,20,1,86.79999542236328
uniform,6.449949956188789,1,9,86.98999786376953
uniform,6.451678915924108,1,9,86.98999786376953
uniform,6.45176583476689,1,9,86.98999786376953
uniform,6.4920145978376675,1,9,86.97999572753906
uniform,6.428878342785137,1,9,86.97999572753906
distance,6.421790961484348,1,9,86.97999572753906
distance,6.516233151735601,1,9,86.97999572753906
distance,5.4173378671796595,1,13,86.55999755859375
distance,10.0,1,17,86.50999450683594
distance,8.33212996578821,10,14,86.55999755859375
uniform,6.5031839011810035,1,9,86.97999572753906
distance,2.273759219537539,20,20,86.18999481201172
uniform,5.797373761629809,1,9,86.91999816894531
distance,5.985343051511174,20,15,86.3699951171875
uniform,6.423850248003438,1,9,86.97999572753906
distance,5.820879751492388,1,18,86.57999420166016
uniform,7.013385193615087,20,12,86.02999877929688
distance,7.174819726581356,8,15,86.67999267578125
uniform,7.061141032739705,8,18,86.73999786376953
distance,3.3466304441802572,1,9,86.72999572753906
uniform,7.783168563084298,11,17,86.43999481201172
distance,6.513448962554164,1,9,86.97999572753906
distance,6.410196431473308,1,9,86.97999572753906
uniform,5.886037392118054,11,1,86.83999633789062
uniform,6.413133180619011,1,5,86.77999877929688
distance,8.743573031942974,1,11,86.65999603271484
distance,2.2435268102537718,20,4,86.0199966430664
uniform,6.432728904092616,1,9,86.97999572753906
uniform,6.5130229878839865,1,9,86.97999572753906
uniform,4.05870872783905,1,16,86.75
uniform,3.4447306440459635,1,17,86.67999267578125
distance,10.0,1,6,86.81999969482422
distance,6.41825796320226,1,9,86.97999572753906
distance,10.0,12,6,85.5199966430664
uniform,9.20455078883683,20,3,86.37999725341797
uniform,3.592934333900239,9,11,86.42999267578125
uniform,2.480266174488078,9,15,86.29999542236328
uniform,8.649641132405582,20,13,86.00999450683594
uniform,9.483707486764036,5,18,86.6199951171875
distance,1.7739062960161542,1,13,86.2199935913086
uniform,6.5304432833171635,3,9,86.56999969482422
distance,5.459827636855987,20,8,85.72999572753906
distance,5.264268021838325,9,10,86.52999877929688
distance,6.432667328365462,14,1,86.80999755859375
distance,10.0,10,18,86.57999420166016
distance,3.4955144385346397,1,1,86.75
uniform,6.648557423804955,8,16,86.6199951171875
distance,3.1142279668859754,20,12,85.98999786376953
distance,9.528195277428365,8,20,86.63999938964844
distance,10.0,20,14,86.1199951171875
uniform,6.497411781581267,9,20,86.77999877929688
distance,3.8252514196795664,8,8,86.56999969482422
distance,7.371850504122122,20,3,86.49999237060547
distance,2.783208742982004,11,3,86.45999908447266
distance,4.297211547990848,10,20,86.65999603271484
uniform,8.997143070502304,8,20,86.75
uniform,4.454456332432265,10,18,86.55999755859375
distance,5.829860443983572,9,20,86.8499984741211
uniform,5.944968852209062,10,20,86.68999481201172
distance,6.5924397594443365,12,20,86.54999542236328
uniform,8.11828568862327,9,20,86.70999908447266
distance,5.334822154915862,8,20,86.75
distance,5.338950323417867,10,15,86.63999938964844
uniform,7.224118542929344,11,20,86.49999237060547
distance,2.911340827782214,20,18,86.22999572753906
distance,10.0,8,15,86.55999755859375
uniform,7.622399895436242,12,14,86.3699951171875
uniform,6.415429842225348,6,19,86.73999786376953
distance,4.990978957322494,20,3,86.58999633789062
distance,5.035339407790237,10,4,86.04999542236328
distance,4.157993931524555,20,3,86.54999542236328
distance,5.92637634407097,7,1,86.83999633789062
distance,1.9835789448081877,8,11,86.15999603271484
distance,3.549527915514148,20,6,85.60999298095703
distance,4.107525285752877,6,10,86.68999481201172
uniform,5.944440750105187,20,2,86.57999420166016
distance,8.007559752621088,9,5,85.70999145507812
distance,5.043519797630863,1,6,86.83999633789062
distance,3.052423890624383,15,1,86.70999908447266
distance,6.828165271786862,20,6,85.47999572753906
uniform,6.397717288973695,9,1,86.81999969482422
uniform,5.106630020497093,11,13,86.57999420166016
distance,8.810414847978874,7,16,86.53999328613281
uniform,5.092498515321092,6,16,86.77999877929688
uniform,2.442300364027291,10,20,86.49999237060547
distance,8.862446352641097,9,12,86.40999603271484
uniform,3.224655738495699,1,1,86.72999572753906
uniform,6.907658025702635,20,1,86.83999633789062
uniform,4.5971801641758105,20,2,86.58999633789062
distance,8.302852218964812,1,1,86.75999450683594
distance,6.685691555313113,11,13,86.50999450683594
distance,2.1877792928415967,1,17,86.5199966430664
uniform,5.087925890881866,1,12,86.6199951171875
distance,7.776421725219368,13,12,86.38999938964844
distance,3.8366180303098076,8,13,86.50999450683594
distance,3.465115843480177,6,16,86.70999908447266
distance,6.0422415126499835,6,20,86.79999542236328
distance,6.972232007562575,10,1,86.83999633789062
uniform,2.574021743249151,16,2,86.56999969482422
uniform,10.0,8,17,86.48999786376953
distance,6.718916017996835,1,5,86.75999450683594
distance,10.0,8,12,86.55999755859375
distance,4.3336756939944285,1,1,86.79999542236328
distance,1.8106407516827108,20,16,85.8699951171875
uniform,4.134572054451395,1,5,86.67999267578125
uniform,7.004792366751563,1,16,86.67999267578125
distance,6.518379244990261,1,9,86.97999572753906
uniform,4.992461592153257,1,5,86.70999908447266
distance,3.96612415506828,6,5,86.40999603271484
distance,4.769169672081964,16,20,86.41999816894531
uniform,3.7826014552261773,9,20,86.57999420166016
distance,8.665799481119501,14,1,86.73999786376953
distance,7.864730268970483,7,19,86.68999481201172
uniform,9.61097941544743,7,13,86.29999542236328
distance,8.507053309588322,9,20,86.72999572753906
uniform,5.818189959975638,15,14,86.48999786376953
distance,7.22269176091158,9,17,86.52999877929688
uniform,4.447259114836596,20,14,86.23999786376953
distance,5.594344819283674,15,1,86.81999969482422
uniform,7.131637002433845,1,18,86.52999877929688
distance,7.178842208763912,1,14,86.57999420166016
distance,5.709997496806691,6,17,86.67999267578125
distance,10.0,1,11,86.53999328613281
uniform,2.3329779341008496,8,6,86.25999450683594
distance,8.405009625703912,1,14,86.52999877929688
uniform,2.806406369722871,7,1,86.66999816894531
uniform,6.415647155133644,1,9,86.97999572753906
uniform,6.5143621171389166,1,9,86.97999572753906
distance,6.517269512038354,1,9,86.97999572753906
distance,6.639427227153712,20,2,86.43999481201172
uniform,7.8659531202282125,20,3,86.42999267578125
uniform,5.68466649561386,20,1,86.80999755859375
distance,5.675535869857161,9,19,86.65999603271484
uniform,3.9703823593191623,1,11,86.65999603271484
uniform,4.665618196485618,7,20,86.79999542236328
uniform,5.540167690829021,20,4,86.6199951171875
distance,8.841953986766718,20,5,85.6199951171875
distance,10.0,1,3,86.30999755859375
uniform,10.0,1,5,86.5999984741211
uniform,8.697574411564773,1,10,86.7699966430664
distance,1.835912757863813,1,8,86.33999633789062
distance,7.110455355030415,1,9,86.88999938964844
uniform,8.912031576221057,1,5,86.69999694824219
distance,5.4487057311192455,1,6,86.93999481201172
distance,5.316530378747935,1,7,86.62999725341797
distance,7.903080219745084,1,2,86.47999572753906
uniform,5.5110080650827165,1,6,86.90999603271484
uniform,4.5210464835031114,1,2,86.57999420166016
distance,5.748170948553407,1,6,86.88999938964844
distance,2.557628397891134,20,14,86.16999816894531
uniform,5.715703374615701,1,5,86.80999755859375
distance,7.204325035619545,1,11,86.62999725341797
distance,4.332421276366273,7,17,86.65999603271484
uniform,5.211282117785904,6,9,86.64999389648438
distance,5.149406977109793,20,14,86.32999420166016
uniform,10.0,7,19,86.52999877929688
uniform,6.786747565745167,1,6,86.90999603271484
uniform,8.561795387180933,1,6,86.83999633789062
uniform,6.497658694509585,20,18,86.43999481201172
uniform,10.0,20,8,85.28999328613281
distance,5.61888907281788,9,12,86.50999450683594
uniform,6.371438577569708,1,6,86.90999603271484
distance,10.0,20,16,86.2199935913086
distance,6.493865371091934,1,6,86.89999389648438
uniform,3.501026737685665,20,2,86.64999389648438
uniform,10.0,20,4,86.4699935913086
uniform,5.38250009932764,1,10,86.72999572753906
uniform,4.392698414402557,1,9,86.8499984741211
distance,2.60831923364833,8,19,86.62999725341797
distance,5.394874533247073,20,5,85.80999755859375
uniform,6.869332516283587,20,4,86.5999984741211
uniform,3.565157283574825,20,4,86.52999877929688
uniform,10.0,20,2,86.48999786376953
uniform,6.065338968424684,1,12,86.62999725341797
distance,6.509144734841606,20,10,85.30999755859375
uniform,3.998053762604894,1,8,86.80999755859375
uniform,7.243236863696916,1,6,86.90999603271484
uniform,10.0,1,9,86.69999694824219
uniform,6.82432231751662,1,10,86.77999877929688
uniform,2.096942008727544,20,18,86.16999816894531
uniform,4.100857228725607,6,9,86.66999816894531
uniform,2.351385530101498,1,18,86.39999389648438
uniform,4.731582508873531,3,19,86.5199966430664
distance,2.0609866744699006,1,4,86.3499984741211
uniform,7.804178405008738,13,19,86.37999725341797
distance,9.025340112482727,4,18,86.63999938964844
uniform,3.6933104271750805,1,6,86.79999542236328
distance,7.877657125981488,1,9,86.85999298095703
uniform,8.704768174745446,9,10,86.40999603271484
uniform,3.593754532957229,5,7,86.5199966430664
uniform,1.5882826336022748,20,8,84.55999755859375
uniform,5.473358823917152,1,15,86.64999389648438
distance,5.257595100067328,20,18,86.38999938964844
distance,3.3134491104878605,7,10,86.40999603271484
uniform,3.227143994861619,12,13,86.39999389648438
distance,6.400061719688482,1,9,86.9699935913086
uniform,5.330950292878241,20,3,86.45999908447266
uniform,6.153647782976669,20,4,86.62999725341797
distance,2.2788433515253304,1,2,86.39999389648438
distance,3.6352372314854113,1,5,86.72999572753906
distance,9.483719203658238,1,14,86.47999572753906
uniform,8.705047142271003,1,12,86.5999984741211
uniform,6.412680566134156,1,9,86.97999572753906
distance,9.47494736043838,9,17,86.45999908447266
uniform,8.84220114036183,1,7,86.62999725341797
distance,7.307005015353917,1,6,86.88999938964844
distance,3.912376986207968,1,14,86.44999694824219
distance,8.058009759130515,1,6,86.8499984741211
uniform,4.466294049781817,11,16,86.3499984741211
distance,3.490857501368792,9,18,86.7199935913086
uniform,3.1044410552309536,10,19,86.63999938964844
uniform,5.797855747898561,5,16,86.7199935913086
distance,4.675534692888584,9,12,86.44999694824219
uniform,8.230988430791575,20,11,85.74999237060547
uniform,1.6917749094861212,1,15,86.3499984741211
distance,6.343990199595834,1,13,86.58999633789062
distance,7.008951963449441,6,19,86.75999450683594
distance,8.88793080404257,1,6,86.80999755859375
uniform,9.089397709488699,1,17,86.53999328613281
uniform,3.8625426214080925,20,9,84.79999542236328
uniform,10.0,8,10,86.39999389648438
distance,7.418631373582958,20,16,86.44999694824219
distance,2.357402071301085,10,13,86.33999633789062
uniform,5.052170565484479,1,8,86.75
distance,7.89325567903362,7,15,86.37999725341797
distance,6.523427348600727,11,15,86.47999572753906
uniform,8.273273259887908,6,13,86.6199951171875
uniform,6.885882555995696,4,15,86.35999298095703
uniform,8.643364691432186,20,15,86.2199935913086
distance,7.297428427785021,1,16,86.68999481201172
distance,6.531082924561515,1,9,86.98999786376953
distance,6.5317898120427795,1,9,86.98999786376953
distance,6.531319999858781,1,9,86.98999786376953
distance,6.530983867221809,1,9,86.98999786376953
distance,6.530874371105821,1,9,86.98999786376953
distance,6.529358361117064,1,9,86.98999786376953
distance,6.5300550217790505,1,9,86.98999786376953
distance,6.528547136393048,1,9,86.98999786376953
distance,6.528199690385019,1,9,86.98999786376953
distance,6.527763315711934,1,9,86.98999786376953
distance,6.528472337705072,1,9,86.98999786376953
distance,6.5270855530735625,1,9,86.98999786376953
distance,6.527662918761855,1,9,86.98999786376953
distance,6.527088976524023,1,9,86.98999786376953
distance,6.526858144465001,1,9,86.98999786376953
distance,6.525791422270538,1,9,86.98999786376953
distance,6.5260221525671,1,9,86.98999786376953
distance,6.525087148915655,1,9,86.98999786376953
distance,6.524806274022177,1,9,86.98999786376953
distance,6.52483134497685,1,9,86.98999786376953
distance,6.5240030473136645,1,9,86.98999786376953
distance,6.523707554272477,1,9,86.97999572753906
distance,6.524181815537667,1,9,86.98999786376953
distance,6.522968476308008,1,9,86.97999572753906
distance,6.519698399020184,1,9,86.97999572753906
distance,7.814643131595089,6,20,86.7199935913086
uniform,3.1058281025244967,1,16,86.77999877929688
distance,6.524904427926037,1,9,86.98999786376953
distance,6.52643367952763,1,9,86.98999786376953
distance,6.525997867934333,1,9,86.98999786376953
distance,6.524766136942012,1,9,86.98999786376953
distance,6.516753266066859,1,9,86.97999572753906
distance,6.529956117205865,1,9,86.98999786376953
distance,4.587833675882267,3,9,86.75
uniform,6.764664719157601,10,19,86.60999298095703
uniform,8.816766620779259,7,19,86.60999298095703
uniform,10.0,11,3,86.28999328613281
distance,6.535748104375296,1,9,86.98999786376953
distance,6.1829753067103415,20,17,86.40999603271484
distance,6.535943471315331,1,9,86.98999786376953
uniform,9.75322633169636,6,1,86.7199935913086
distance,6.527422518749661,1,9,86.98999786376953
distance,6.529783291989753,1,9,86.98999786376953
distance,6.533803319201064,1,9,86.98999786376953
distance,6.517646459625834,1,9,86.97999572753906
uniform,5.175606601862186,8,14,86.73999786376953
distance,3.5886891537860235,7,1,86.7699966430664
distance,6.545007126028837,1,9,86.98999786376953
distance,6.546263230629025,1,9,86.98999786376953
uniform,1.8083308815163415,1,11,86.23999786376953
distance,6.5459631628776505,1,9,86.98999786376953
distance,6.544680427159143,1,9,86.98999786376953
distance,6.515058178851298,1,9,86.97999572753906
uniform,5.833010945590606,1,2,86.58999633789062
distance,3.5161396633523125,20,14,86.29999542236328
distance,3.1409490940914924,12,17,86.57999420166016
distance,9.45388958716789,1,19,86.32999420166016
uniform,3.849552968967884,15,19,86.41999816894531
distance,6.554297058660885,1,9,86.98999786376953
distance,6.5547389665376885,1,9,86.98999786376953
distance,6.558459372707999,1,9,86.98999786376953
distance,6.552887895957684,1,9,86.98999786376953
distance,6.556354380989495,1,9,86.98999786376953
distance,6.550166233030831,1,9,86.98999786376953
distance,6.556274820248711,1,9,86.98999786376953
distance,6.552296550621399,1,9,86.98999786376953
distance,6.5542505290888,1,9,86.98999786376953
distance,6.552472606987779,1,9,86.98999786376953
distance,6.552328948100468,1,9,86.98999786376953
distance,6.547194188806991,1,9,86.98999786376953
distance,6.550717450573307,1,9,86.98999786376953
distance,6.5507127124611415,1,9,86.98999786376953
distance,6.552738471774142,1,9,86.98999786376953
distance,6.538364101363307,1,9,86.98999786376953
distance,6.5512477978933585,1,9,86.98999786376953
distance,6.551066126787704,1,9,86.98999786376953
distance,6.5508149998305765,1,9,86.98999786376953
distance,6.536758643375641,1,9,86.98999786376953
distance,6.536564197083486,1,9,86.98999786376953
distance,6.54829825437973,1,9,86.98999786376953
distance,6.548316656260447,1,9,86.98999786376953
distance,6.5496686608154615,1,9,86.98999786376953
distance,6.535202562612589,1,9,86.98999786376953
distance,6.534780306809811,1,9,86.98999786376953
distance,6.544321955900298,1,9,86.98999786376953
distance,6.5500166954379635,1,9,86.98999786376953
distance,6.544338210942417,1,9,86.98999786376953
distance,6.541340831752321,1,9,86.98999786376953
distance,6.542271563652241,1,9,86.98999786376953
distance,6.546962510238005,1,9,86.98999786376953
distance,6.545415208447909,1,9,86.98999786376953
distance,6.546674865131416,1,9,86.98999786376953
distance,6.545204984404007,1,9,86.98999786376953
distance,6.543152241562939,1,9,86.98999786376953
distance,6.544770725404899,1,9,86.98999786376953
distance,6.53954706248328,1,9,86.98999786376953
