tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
0.5505860799686058,1.4800316859742693,1.0803012899114872,43,44,49.37999725341797
0.4394730471659605,1.341004557386055,0.6683759280837986,47,40,49.41999816894531
0.5441675946977158,1.8088066173202908,1.8104816810025404,7,33,51.51000213623047
0.35386766215615717,1.8048872352682168,1.4722777260871203,19,41,51.30999755859375
0.48065128569689763,1.9993211979281127,0.8466919520932665,8,24,50.970001220703125
0.3453475451756299,0.8939428284942936,1.9446541755419369,39,39,50.279998779296875
0.30728980202817047,1.130054768132155,1.8546222265311385,32,29,50.400001525878906
0.5577493193639448,1.0123118811243055,0.7099604908197217,3,25,51.31999969482422
0.3300845287810799,1.1968866030869292,0.6084429306818644,7,48,51.529998779296875
0.43941115656089247,0.7479870584545704,0.6772650837373373,19,38,51.84000015258789
0.5024116970522523,0.5,1.4075024330425157,14,49,50.87000274658203
0.3,0.6603690981545363,0.5,16,30,50.86000061035156
0.47605212452777823,0.6508667667925174,0.5,9,38,52.02000045776367
0.6,0.5,0.5,11,36,49.88999938964844
0.4358184272233865,0.8293202630297346,0.5480787444966638,4,35,52.34000015258789
0.4375550891834755,0.5,0.5,1,21,51.12999725341797
0.42737731210880636,0.806817942103127,1.4594566289051438,1,39,51.790000915527344
0.4461848730737765,1.0878924034119448,0.5,5,39,52.31999588012695
0.41858103527696705,0.5353477943725887,0.5,6,39,51.86000061035156
0.44542894770947816,0.8968713397687192,0.5,5,41,52.45999526977539
0.44728334366439004,0.9248462146133555,0.5,1,50,51.66999816894531
0.44051627061015886,0.9148509954704642,0.5,8,38,52.31999588012695
0.3,2.0,2.0,1,50,50.72999572753906
0.4622835320285328,1.007507179736428,0.5,1,36,51.44000244140625
0.4324885255666652,1.0145154623514525,0.9658713376493808,10,41,52.70999526977539
0.4338207234631012,1.0923514533750511,2.0,11,31,52.28999710083008
0.43488174322540796,1.1017645526435054,0.5,12,50,51.93000030517578
0.4230035001976717,1.0692264815336037,0.5,11,33,51.68000030517578
0.43268126306164734,1.1375196092307616,2.0,11,41,52.560001373291016
0.41678352386631395,0.9069903145260673,2.0,11,41,52.369998931884766
0.4467214936083469,1.4259372286222425,1.9999999999999998,9,42,52.56999588012695
0.45679509744277785,2.0,1.9999999999999998,8,48,52.189998626708984
0.4388621699672895,1.4684176886997153,1.3922000165557813,10,41,52.48999786376953
0.45464512701856213,1.189736457433495,2.0,10,39,52.59999465942383
0.4509828364059637,1.4696071083207496,2.0,13,40,52.3599967956543
0.6,0.5,2.0,50,20,46.48999786376953
0.6,2.0,2.0,1,50,49.959999084472656
0.3,2.0,2.0,50,50,49.22999572753906
0.430625472252752,1.6426440716928281,2.0,7,39,52.34000015258789
0.4344341625266763,2.0,0.5,8,46,50.769996643066406
0.41293897969309296,1.3034782163264773,2.0,11,50,52.349998474121094
0.4349077081945214,1.1342943271166133,1.4532087557600124,10,42,52.84000015258789
0.3,0.5,2.0,15,50,48.869998931884766
0.4422379991412463,0.9843652438017529,1.2268859280046365,7,45,52.22999954223633
0.4307218422778035,1.0922106658819726,1.653658190163919,11,48,52.52999496459961
0.3,2.0,1.9999999999999998,1,20,50.589996337890625
0.46690500994479567,2.0,2.0,23,50,50.91999816894531
0.6,1.9999999999999998,2.0,1,20,50.269996643066406
0.3,0.5,0.5,50,20,46.41999816894531
0.43178906077961077,1.1504818434016533,1.5174549635453192,14,41,52.57999801635742
0.5607509754198403,0.5,2.0,1,20,49.29999923706055
0.4102833510775846,1.2024254804817596,1.5702873460587592,10,39,52.689998626708984
0.4545153593445117,1.1433270456291593,1.4758955616089169,12,40,52.47999954223633
0.40641755628183046,1.237666760303099,1.653410435797051,9,40,52.439998626708984
0.44551378721348894,1.5345918208219314,2.0,1,50,51.349998474121094
0.6,2.0,2.0,24,20,49.689998626708984
0.3,0.7854845874943357,0.5,1,20,50.47999572753906
0.40238781205654905,2.0,2.0,16,20,51.05999755859375
0.42710633454756447,1.2021810869350227,2.0,18,42,52.21999740600586
0.4455355013656246,1.0550416846775028,1.3981829362304108,9,37,52.679996490478516
0.3,1.2637796313809784,0.5,31,50,50.12999725341797
0.42374270160895977,0.9830058293188425,1.3266745848584738,10,38,52.63999557495117
0.4599706509853644,1.141228021126645,1.4805470928332813,10,40,52.499996185302734
0.39683771392979916,1.3679120877266229,2.0,11,39,52.22999954223633
0.4205641078852462,0.5,2.0,20,20,50.36000061035156
0.41720652534043134,0.9891956747697999,1.2837633374328628,11,41,52.560001373291016
0.6,2.0,0.5,19,50,49.32999801635742
0.4601423276329209,2.0,2.0,50,20,47.59000015258789
0.48060558353310023,1.380992537069226,2.0,13,50,52.0
0.4521821189341048,1.450708401447803,2.0,4,20,52.23999786376953
0.44482185046813705,1.1933985666009521,1.5029524524939002,8,32,52.679996490478516
