shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy
9,97757992252043;0;1;1;63,71357346
10;0;1;1;63,696922302246
10;4,83535443413933;1;1;63,6802673339843
9,95996184036615;0,0207101462384492;1;1;63,7135734558105
10;10;1;1;63,6636123657226
