trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1;tukey_lambda
2195;71,58;55,0;6,0;1,144131858708429;0,50319800189728;0,4579554666825171
2196;71,6;50,0;5,0;1,9281743504398454;0,5017351457473259;0,306807380976795
2197;71,78;53,0;7,0;1,4667442315419232;0,8580685567402975;0,3306450220883155
2198;67,62;52,0;3,0;0,8680333335333439;1,5987632360934545;0,2893023112292233
2199;71,52;46,0;8,0;2,3324891413090896;1,1634149059540542;0,33596765662777733
2200;71,52;49,0;5,0;1,1993613961469838;0,8860979567282461;0,4380520841694816
2201;71,32;54,0;6,0;1,6687637030840587;0,5030862837040004;0,26228860938247855
2202;64,12;51,0;4,0;0,8233285690305241;2,290895324804444;0,3498818309012676
2203;65,66;55,0;6,0;7,182544668951929;14,8296279241845;0,41723103136642214
2204;71,41999999999999;50,0;9,0;1,3354735685755075;1,1076434121465963;0,40012723626226077
2205;71,2;53,0;5,0;1,6506880196637819;1,4251079797802564;0,319279714499102
2206;71,54;48,0;7,0;1,9687663656494123;0,500761051879823;0,34819144665583934
2207;71,7;52,0;6,0;1,1114293038776581;0,8552672697935269;0,3065203215527514
2208;69,12;54,0;7,0;6,220910158263457;3,6376871881183535;0,3541409322387512
2209;1,9;55,0;4,0;0,8408266482368254;12,053351319819697;0,32660367925748157
2210;70,6;44,0;5,0;2,8269060082617745;1,6917653269613244;0,4057854180083374
2211;71,28;50,0;6,0;1,4329671969509512;1,1092787274375997;0,2788939157292994
2212;70,96000000000001;53,0;8,0;2,3303747359414597;0,8509669238637751;0,42881180472236907
2213;70,52000000000001;51,0;3,0;1,1325439865973685;1,4591530921639748;0,33398188097216536
2214;71,24000000000001;47,0;6,0;1,9600008535154085;0,5022890525175879;0,38825827760881737
2215;70,39999999999999;42,0;5,0;0,810284644024042;0,9041549912579099;0,30024853981836724
2216;71,61999999999999;53,0;7,0;1,5692980511239019;1,1760113218975672;0,3569087868978523
2217;72,02;52,0;4,0;1,1593733461736964;0,8581811296868618;0,3966439848427142
2218;70,44;55,0;5,0;1,8700419991268322;1,8923602621832885;0,3312111080698913
2219;71,3;51,0;3,0;1,3684752227453219;0,873195762854195;0,31283899561333184
2220;70,56;49,0;7,0;0,8642406584235968;1,3534053322087145;0,41647262339295993
2221;67,80000000000001;56,0;2,0;0,5238520908265559;1,147855244519574;0,3525607642794472
2222;71,5;45,0;9,0;1,5578173877573318;0,8344478146478573;0,37061360534059345
2223;59,38;54,0;7,0;0,5071444116500858;1,563353316834543;0,2867416358196773
2224;71,86;48,0;6,0;1,1712231051030677;0,8489117269260233;0,39737420294174464
2225;71,58;52,0;5,0;2,173865577310474;1,15496178425427;0,34663560965322776
2226;70,08;51,0;32,0;1,7676594303652684;1,4708625133585969;0,3847059956546319
2227;68,46;54,0;6,0;8,750044134884554;0,855038010507181;0,3220688465951818
2228;71,0;50,0;24,0;0,8626654798223121;0,8357307160070133;0,36306198104237386
2229;71,94;53,0;4,0;1,3851024173676285;0,5035498644984533;0,33348711930649655
2230;68,97999999999999;56,0;8,0;1,1190037039308147;1,8927816897144296;0,2995716975377487
2231;71,38;46,0;6,0;1,5984343222857988;0,5031362248408747;0,4112956414596832
2232;70,96000000000001;48,0;5,0;2,440347333770892;1,1657817746054664;0,44436308597328955
2233;70,02000000000001;52,0;8,0;4,725593809662802;1,1744700291546266;0,38490483129771547
2234;71,32;54,0;7,0;0,8423821520109862;0,7974176669814677;0,3538176540882217
2235;3,26;50,0;5,0;0,5109343351363427;10,637407071718984;0,42697926476323633
2236;70,94;51,0;3,0;1,2235450491522293;1,4739322317532255;0,3730123863301918
2237;56,86;55,0;6,0;2,0401794188075777;7,144725979776034;0,4681774646888393
2238;71,78;49,0;4,0;1,6696297392406927;0,5068847867538823;0,3134860561596352
2239;72,11999999999999;53,0;5,0;1,0826191166724097;0,5062224481039768;0,3378275195847572
2240;71,28;43,0;6,0;0,8340941694883304;1,139790115299651;0,3979746938728651
2241;71,89999999999999;52,0;7,0;1,4442686317391162;0,5002483585158921;0,3641558993663025
2242;71,1;56,0;4,0;1,9180569537815249;0,8444595862389029;0,28661660539051204
2243;65,32;47,0;1,0;1,1534281885603415;2,208982278516893;0,26398680147302606
2244;72,26;53,0;6,0;1,5467737479886439;0,5012924572028723;0,344350707420542
