weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
uniform,0.7892734375,3.828125,1.484375,3,6,47.57999801635742
uniform,0.2897734375,8.828125,6.484375,13,16,45.599998474121094
uniform,0.4146484375,2.578125,7.734375,15,18,49.939998626708984
uniform,0.9141484375,7.578125,2.734375,5,8,45.64999771118164
distance,0.6643984375,0.078125,5.234375,20,3,0.9699999094009399
distance,0.1648984375,5.078125,0.234375,10,13,43.71999740600586
uniform,0.2273359375,4.453125,5.859375,4,2,46.5099983215332
uniform,0.7268359375,9.453125,0.859375,14,12,45.18000030517578
uniform,0.9765859375,1.953125,8.359375,9,17,45.040000915527344
distance,0.4770859375,6.953125,3.359375,19,7,45.150001525878906
distance,0.3522109375,0.703125,2.109375,16,9,49.939998626708984
uniform,0.8517109375,5.703125,7.109375,6,19,47.14999771118164
distance,0.6019609375,3.203125,4.609375,11,14,49.519996643066406
uniform,0.1024609375,8.203125,9.609375,1,4,39.25
uniform,0.0712421875,3.515625,1.171875,19,16,38.54999923706055
distance,0.5707421875,8.515625,6.171875,9,6,47.25
distance,0.8204921875,1.015625,3.671875,14,1,46.029998779296875
distance,0.3209921875,6.015625,8.671875,4,11,48.279998779296875
distance,0.4458671875,2.265625,7.421875,2,14,50.58000183105469
distance,0.9453671875,7.265625,2.421875,12,4,43.5099983215332
distance,0.6956171875,4.765625,9.921875,7,9,48.220001220703125
uniform,0.1961171875,9.765625,4.921875,17,19,43.179996490478516
uniform,0.1336796875,0.390625,9.296875,11,8,0.8100000023841858
distance,0.6331796875,5.390625,4.296875,1,18,48.5
uniform,0.8829296875,2.890625,6.796875,16,13,46.779998779296875
distance,0.3834296875,7.890625,1.796875,6,3,45.02000045776367
uniform,0.2585546875,4.140625,3.046875,8,5,47.25
distance,0.7580546875,9.140625,8.046875,18,15,46.05999755859375
distance,0.5083046875,1.640625,0.546875,3,20,50.98999786376953
uniform,0.0088046875,6.640625,5.546875,13,10,23.719999313354492
uniform,0.01270703125,3.3203125,2.9296875,4,19,25.94999885559082
uniform,0.51220703125,8.3203125,7.9296875,14,9,46.5099983215332
uniform,0.76195703125,0.8203125,0.4296875,9,4,45.619998931884766
uniform,0.26245703125000003,5.8203125,5.4296875,19,14,45.959999084472656
distance,0.38733203125,2.0703125,9.1796875,17,11,48.33000183105469
uniform,0.88683203125,7.0703125,4.1796875,7,1,46.3599967956543
distance,0.63708203125,4.5703125,6.6796875,12,6,47.5
distance,0.13758203125000001,9.5703125,1.6796875,2,16,39.53999710083008
distance,0.20001953125,0.1953125,7.3046875,6,10,0.6899999976158142
distance,0.69951953125,5.1953125,2.3046875,16,20,47.0099983215332
distance,0.94926953125,2.6953125,9.8046875,1,15,43.689998626708984
distance,0.44976953125,7.6953125,4.8046875,11,5,46.37999725341797
uniform,0.32489453125,3.9453125,1.0546875,13,2,48.689998626708984
uniform,0.82439453125,8.9453125,6.0546875,3,12,46.87999725341797
uniform,0.57464453125,1.4453125,3.5546875,18,17,50.659996032714844
distance,0.07514453125000001,6.4453125,8.5546875,8,7,39.11000061035156
uniform,0.10636328125,1.7578125,1.9921875,12,14,43.869998931884766
distance,0.60586328125,6.7578125,6.9921875,2,4,48.18000030517578
uniform,0.85561328125,4.2578125,4.4921875,17,9,45.56999969482422
uniform,0.35611328125,9.2578125,9.4921875,7,19,48.09000015258789
distance,0.48098828125,3.0078125,5.7421875,10,17,50.33000183105469
uniform,0.98048828125,8.0078125,0.7421875,20,7,42.13999938964844
distance,0.73073828125,0.5078125,8.2421875,5,2,2.169999837875366
uniform,0.23123828125,5.5078125,3.2421875,15,12,45.55999755859375
distance,0.16880078125,4.8828125,7.6171875,19,5,42.31999969482422
distance,0.66830078125,9.8828125,2.6171875,9,15,46.87999725341797
distance,0.91805078125,2.3828125,5.1171875,14,20,46.87999725341797
distance,0.41855078125,7.3828125,0.1171875,4,10,47.02000045776367
uniform,0.29367578125,1.1328125,3.8671875,1,8,49.72999954223633
distance,0.79317578125,6.1328125,8.8671875,11,18,47.349998474121094
distance,0.54342578125,3.6328125,1.3671875,6,13,49.30999755859375
distance,0.043925781250000004,8.6328125,6.3671875,16,3,35.90999984741211
uniform,0.05953515625,0.6640625,9.9609375,15,16,0.8299999833106995
uniform,0.55903515625,5.6640625,4.9609375,5,6,48.56999969482422
distance,0.80878515625,3.1640625,7.4609375,20,1,48.02000045776367
uniform,0.30928515625,8.1640625,2.4609375,10,11,45.65999984741211
distance,0.43416015625,4.4140625,3.7109375,8,13,49.05999755859375
uniform,0.93366015625,9.4140625,8.7109375,18,3,44.11000061035156
distance,0.68391015625,1.9140625,1.2109375,3,8,49.78999710083008
uniform,0.18441015625,6.9140625,6.2109375,13,18,44.619998931884766
distance,0.24684765625,2.5390625,0.5859375,17,7,46.05999755859375
distance,0.74634765625,7.5390625,5.5859375,7,17,47.47999954223633
distance,0.99609765625,0.0390625,3.0859375,12,12,0.5399999618530273
distance,0.49659765625,5.0390625,8.0859375,2,2,49.599998474121094
uniform,0.37172265625,1.2890625,6.8359375,4,4,48.189998626708984
distance,0.87122265625,6.2890625,1.8359375,14,14,45.02000045776367
uniform,0.62147265625,3.7890625,9.3359375,9,19,49.53999710083008
uniform,0.12197265625,8.7890625,4.3359375,19,9,38.869998931884766
distance,0.09075390625,4.1015625,5.2734375,2,11,40.98999786376953
uniform,0.59025390625,9.1015625,0.2734375,12,1,45.7599983215332
distance,0.84000390625,1.6015625,7.7734375,7,6,45.59000015258789
distance,0.34050390625,6.6015625,2.7734375,17,16,45.88999938964844
distance,0.46537890625,0.3515625,1.5234375,20,19,49.429996490478516
uniform,0.96487890625,5.3515625,6.5234375,10,9,45.0
distance,0.71512890625,2.8515625,4.0234375,15,4,46.79999923706055
distance,0.21562890625,7.8515625,9.0234375,5,14,45.459999084472656
distance,0.15319140625,2.2265625,4.6484375,8,3,46.119998931884766
uniform,0.65269140625,7.2265625,9.6484375,18,13,46.65999984741211
distance,0.90244140625,4.7265625,2.1484375,3,18,46.64999771118164
distance,0.40294140625,9.7265625,7.1484375,13,8,45.97999572753906
uniform,0.27806640625,3.4765625,8.3984375,11,10,47.95000076293945
uniform,0.77756640625,8.4765625,3.3984375,1,20,46.84000015258789
distance,0.52781640625,0.9765625,5.8984375,16,15,48.80999755859375
uniform,0.028316406250000002,5.9765625,0.8984375,6,5,24.100000381469727
uniform,0.02051171875,1.9921875,5.9765625,19,6,19.979999542236328
uniform,0.52001171875,6.9921875,0.9765625,9,16,47.09000015258789
distance,0.76976171875,4.4921875,8.4765625,14,11,46.97999954223633
distance,0.27026171875,9.4921875,3.4765625,4,1,43.79999923706055
distance,0.39513671875,3.2421875,2.2265625,1,3,50.30999755859375
uniform,0.89463671875,8.2421875,7.2265625,11,13,45.59000015258789
uniform,0.64488671875,0.7421875,4.7265625,6,18,47.349998474121094
uniform,0.14538671875,5.7421875,9.7265625,16,8,41.599998474121094
distance,0.20782421875,3.8671875,4.1015625,12,17,47.2599983215332
uniform,0.70732421875,8.8671875,9.1015625,2,7,46.88999938964844
uniform,0.95707421875,1.3671875,1.6015625,17,2,44.849998474121094
uniform,0.45757421875,6.3671875,6.6015625,7,12,48.63999938964844
distance,0.33269921875,0.1171875,7.8515625,10,14,0.550000011920929
distance,0.83219921875,5.1171875,2.8515625,20,4,44.48999786376953
uniform,0.58244921875,2.6171875,5.3515625,5,9,50.519996643066406
distance,0.08294921875,7.6171875,0.3515625,15,19,38.119998931884766
distance,0.11416796875,2.9296875,8.7890625,7,1,38.68000030517578
uniform,0.61366796875,7.9296875,3.7890625,17,11,46.209999084472656
uniform,0.86341796875,0.4296875,6.2890625,2,16,3.7200000286102295
uniform,0.36391796875,5.4296875,1.2890625,12,6,45.5099983215332
distance,0.48879296875,1.6796875,2.5390625,14,9,51.0
uniform,0.98829296875,6.6796875,7.5390625,4,19,45.88999938964844
distance,0.73854296875,4.1796875,0.0390625,19,14,44.52000045776367
distance,0.23904296875,9.1796875,5.0390625,9,4,42.599998474121094
uniform,0.17660546875,1.0546875,0.6640625,5,12,47.90999984741211
distance,0.67610546875,6.0546875,5.6640625,15,2,47.2599983215332
uniform,0.92585546875,3.5546875,3.1640625,10,7,45.61000061035156
distance,0.42635546875,8.5546875,8.1640625,20,17,46.5099983215332
distance,0.30148046875,4.8046875,6.9140625,18,20,47.47999954223633
distance,0.80098046875,9.8046875,1.9140625,8,10,45.599998474121094
uniform,0.55123046875,2.3046875,9.4140625,13,5,47.95000076293945
uniform,0.05173046875,7.3046875,4.4140625,3,15,34.22999954223633
distance,0.03612109375,4.6484375,1.7578125,9,8,30.26999855041504
uniform,0.53562109375,9.6484375,6.7578125,19,18,46.619998931884766
distance,0.78537109375,2.1484375,4.2578125,4,13,48.769996643066406
uniform,0.28587109375,7.1484375,9.2578125,14,3,44.5099983215332
uniform,0.41074609375,0.8984375,5.5078125,11,1,48.060001373291016
uniform,0.91024609375,5.8984375,0.5078125,1,11,45.779998779296875
distance,0.66049609375,3.3984375,8.0078125,16,16,49.03999710083008
uniform,0.16099609375,8.3984375,3.0078125,6,6,41.439998626708984
distance,0.22343359375,1.5234375,8.6328125,3,20,37.34000015258789
uniform,0.72293359375,6.5234375,3.6328125,13,10,46.28999710083008
uniform,0.97268359375,4.0234375,6.1328125,8,5,45.5099983215332
distance,0.47318359375,9.0234375,1.1328125,18,15,44.84000015258789
uniform,0.34830859375,2.7734375,4.8828125,20,12,49.13999557495117
uniform,0.84780859375,7.7734375,9.8828125,10,2,45.2400016784668
uniform,0.59805859375,0.2734375,2.3828125,15,7,42.220001220703125
distance,0.09855859375,5.2734375,7.3828125,5,17,41.880001068115234
distance,0.06733984375,0.5859375,3.3203125,16,4,23.029998779296875
uniform,0.56683984375,5.5859375,8.3203125,6,14,49.23999786376953
uniform,0.81658984375,3.0859375,0.8203125,11,19,47.13999938964844
distance,0.31708984375,8.0859375,5.8203125,1,9,47.54999923706055
distance,0.44196484375,4.3359375,9.5703125,3,7,49.63999938964844
uniform,0.94146484375,9.3359375,4.5703125,13,17,44.36000061035156
uniform,0.69171484375,1.8359375,7.0703125,8,12,49.119998931884766
uniform,0.19221484375,6.8359375,2.0703125,18,2,43.13999938964844
uniform,0.12977734375,3.7109375,6.4453125,14,15,43.78999710083008
uniform,0.62927734375,8.7109375,1.4453125,4,5,47.0
uniform,0.87902734375,1.2109375,8.9453125,19,10,41.0
distance,0.37952734375,6.2109375,3.9453125,9,20,48.279998779296875
uniform,0.25465234375,2.4609375,0.1953125,7,18,48.73999786376953
uniform,0.75415234375,7.4609375,5.1953125,17,8,45.48999786376953
uniform,0.50440234375,4.9609375,2.6953125,2,3,49.04999542236328
uniform,0.00490234375,9.9609375,7.6953125,12,13,20.3799991607666
distance,0.006853515625,4.98046875,6.77734375,6,16,22.600000381469727
uniform,0.506353515625,9.98046875,1.77734375,16,6,44.459999084472656
distance,0.756103515625,2.48046875,9.27734375,1,1,48.02000045776367
distance,0.256603515625,7.48046875,4.27734375,11,11,45.22999954223633
distance,0.381478515625,1.23046875,0.52734375,14,14,51.019996643066406
distance,0.880978515625,6.23046875,5.52734375,4,4,46.22999954223633
distance,0.631228515625,3.73046875,3.02734375,19,9,46.96999740600586
distance,0.13172851562500001,8.73046875,8.02734375,9,19,42.57999801635742
uniform,0.194166015625,1.85546875,3.65234375,5,7,48.87999725341797
distance,0.693666015625,6.85546875,8.65234375,15,17,47.27000045776367
distance,0.943416015625,4.35546875,1.15234375,10,12,45.34000015258789
distance,0.443916015625,9.35546875,6.15234375,20,2,46.3599967956543
distance,0.319041015625,3.10546875,9.90234375,18,5,45.540000915527344
distance,0.818541015625,8.10546875,4.90234375,8,15,46.589996337890625
uniform,0.568791015625,0.60546875,7.40234375,13,20,31.889999389648438
uniform,0.06929101562500001,5.60546875,2.40234375,3,10,35.779998779296875
uniform,0.100509765625,0.29296875,8.33984375,18,12,0.8899999856948853
uniform,0.600009765625,5.29296875,3.33984375,8,2,48.34000015258789
uniform,0.849759765625,2.79296875,5.83984375,13,7,46.38999938964844
distance,0.350259765625,7.79296875,0.83984375,3,17,46.93000030517578
uniform,0.475134765625,4.04296875,4.58984375,1,19,49.98999786376953
distance,0.974634765625,9.04296875,9.58984375,11,9,44.290000915527344
distance,0.724884765625,1.54296875,2.08984375,6,4,48.939998626708984
distance,0.225384765625,6.54296875,7.08984375,16,14,44.57999801635742
uniform,0.162947265625,3.41796875,1.46484375,12,3,45.369998931884766
uniform,0.662447265625,8.41796875,6.46484375,2,13,47.65999984741211
uniform,0.912197265625,0.91796875,3.96484375,17,18,44.45000076293945
distance,0.412697265625,5.91796875,8.96484375,7,8,48.54999923706055
uniform,0.287822265625,2.16796875,5.21484375,10,10,50.31999969482422
distance,0.787322265625,7.16796875,0.21484375,20,20,44.34000015258789
distance,0.537572265625,4.66796875,7.71484375,5,15,49.65999984741211
distance,0.038072265625000004,9.66796875,2.71484375,15,5,26.8700008392334
distance,0.053681640625,2.32421875,0.99609375,16,18,36.409996032714844
distance,0.553181640625,7.32421875,5.99609375,6,8,48.709999084472656
distance,0.802931640625,4.82421875,3.49609375,11,3,46.339996337890625
uniform,0.303431640625,9.82421875,8.49609375,1,13,46.93000030517578
distance,0.428306640625,3.57421875,7.24609375,4,11,50.349998474121094
distance,0.927806640625,8.57421875,2.24609375,14,1,45.38999938964844
uniform,0.678056640625,1.07421875,9.74609375,9,6,38.77000045776367
distance,0.178556640625,6.07421875,4.74609375,19,16,43.66999816894531
distance,0.240994140625,4.19921875,9.12109375,15,10,46.349998474121094
uniform,0.740494140625,9.19921875,4.12109375,5,20,47.75
uniform,0.990244140625,1.69921875,6.62109375,20,15,44.54999923706055
uniform,0.490744140625,6.69921875,1.62109375,10,5,45.909996032714844
uniform,0.365869140625,0.44921875,2.87109375,7,2,47.43000030517578
uniform,0.865369140625,5.44921875,7.87109375,17,12,45.43000030517578
uniform,0.615619140625,2.94921875,0.37109375,2,17,48.96999740600586
uniform,0.116119140625,7.94921875,5.37109375,12,7,40.34000015258789
distance,0.084900390625,2.63671875,3.80859375,9,14,42.02000045776367
uniform,0.584400390625,7.63671875,8.80859375,19,4,45.470001220703125
uniform,0.834150390625,0.13671875,1.30859375,4,9,37.09000015258789
distance,0.334650390625,5.13671875,6.30859375,14,19,48.18000030517578
uniform,0.459525390625,1.38671875,7.55859375,12,16,48.98999786376953
distance,0.959025390625,6.38671875,2.55859375,2,6,45.09000015258789
uniform,0.709275390625,3.88671875,5.05859375,17,1,48.87999725341797
