weight,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
uniform,7.635137703235749,10.0,8,1,86.77999877929688
distance,3.5329737857493315,0.0,1,20,86.49999237060547
uniform,6.003159252656218,0.0,1,1,86.8499984741211
distance,8.29461544727158,10.0,1,6,86.83999633789062
distance,8.379856747326501,10.0,20,6,85.35999298095703
distance,8.404825473481957,0.0,10,1,86.75
uniform,3.0031973942572647,10.0,20,8,85.07999420166016
uniform,2.2163115040531824,0.0,1,14,86.23999786376953
distance,8.104883456868409,0.0,1,6,86.85999298095703
uniform,3.713252652641164,10.0,1,8,86.7199935913086
distance,8.061741391474307,10.0,1,5,86.7699966430664
distance,8.893404406629488,10.0,1,20,83.7300033569336
uniform,7.699597112746126,0.0,20,20,86.27999877929688
uniform,7.113882374553953,10.0,1,18,86.5199966430664
distance,2.027680183057743,0.0,20,20,86.10999298095703
uniform,8.034532902911883,0.0,1,9,86.85999298095703
distance,8.145026679072256,0.0,1,8,86.67999267578125
uniform,8.247273126862723,0.0,1,5,86.77999877929688
uniform,7.6851441603169075,0.0,1,11,86.6199951171875
uniform,4.0274884965564945,0.0,1,12,86.48999786376953
uniform,7.992488273927185,0.0,1,7,86.63999938964844
uniform,8.109387679736344,0.0,1,11,86.64999389648438
uniform,6.025989486039619,10.0,1,11,86.67999267578125
distance,2.0772827170239134,0.0,1,7,86.44999694824219
distance,8.313729198466262,0.0,1,5,86.75
uniform,3.535748590914732,10.0,1,10,86.7699966430664
distance,6.922163695549473,10.0,1,4,86.63999938964844
uniform,7.954978609791805,10.0,1,10,86.75
distance,2.936187017952771,0.0,1,16,86.79999542236328
distance,7.91748912864243,10.0,20,16,86.38999938964844
uniform,3.0878144007657,10.0,1,17,86.6199951171875
uniform,2.513549715649285,0.0,1,4,86.50999450683594
distance,4.32294722442734,10.0,7,17,86.65999603271484
distance,2.8398864225056943,0.0,1,13,86.54999542236328
uniform,4.712033211548642,10.0,1,5,86.7199935913086
distance,5.85300870566103,0.0,10,1,86.82999420166016
uniform,3.5055299831593,0.0,16,1,86.73999786376953
distance,4.585971711275672,10.0,9,1,86.8499984741211
distance,1.6089842583597525,0.0,20,1,86.17999267578125
uniform,3.8345235291645663,10.0,20,1,86.75999450683594
distance,6.810091928115747,0.0,14,1,86.82999420166016
distance,7.75912384690143,0.0,20,1,86.75999450683594
distance,3.146455710984624,0.0,1,1,86.70999908447266
uniform,4.488485916969859,0.0,20,1,86.80999755859375
uniform,5.841777317680995,0.0,10,15,86.6199951171875
uniform,3.4244689328501376,0.0,1,8,86.65999603271484
distance,4.455960860333469,0.0,10,1,86.78999328613281
distance,4.653750881106689,10.0,1,1,86.81999969482422
uniform,6.721848766172078,10.0,20,1,86.8499984741211
uniform,6.292798119649989,10.0,1,1,86.81999969482422
distance,7.4693891433710125,10.0,20,1,86.77999877929688
uniform,4.435048764920244,10.0,15,1,86.77999877929688
distance,5.687113847116507,0.0,20,1,86.80999755859375
uniform,4.671044771252192,10.0,1,16,86.68999481201172
uniform,5.746149755808464,10.0,16,1,86.80999755859375
distance,6.068058857003917,0.0,1,1,86.82999420166016
uniform,2.783622036697022,0.0,1,17,86.63999938964844
distance,4.98481368710455,0.0,20,1,86.75
distance,3.0733258759118263,0.0,7,18,86.62999725341797
distance,5.137210718665358,10.0,1,1,86.7699966430664
distance,5.728642089801223,0.0,1,1,86.81999969482422
uniform,3.9438112140965176,10.0,1,1,86.75
distance,2.750012018075621,9.999999999999998,1,16,86.75999450683594
distance,6.617945456679842,10.0,1,17,86.67999267578125
distance,7.192523052382652,10.0,1,13,86.53999328613281
distance,6.14171969580532,0.0,14,1,86.82999420166016
distance,5.941921485774849,10.0,4,13,86.8499984741211
distance,5.818923411098544,10.0,1,11,86.68999481201172
distance,6.685670022605478,10.0,1,1,86.85999298095703
distance,6.174475596144457,10.0,1,14,86.57999420166016
distance,5.9147897632059205,10.0,11,12,86.47999572753906
uniform,5.418554727358082,10.0,11,20,86.53999328613281
distance,6.753918868375036,0.0,20,1,86.83999633789062
distance,5.0443111644047764,10.0,1,6,86.83999633789062
distance,4.983679876743316,10.0,1,4,86.62999725341797
uniform,5.872517305527268,10.0,1,13,86.56999969482422
distance,10.0,0.0,10,1,86.73999786376953
uniform,5.051229452971393,0.0,1,8,86.75
uniform,6.0796951280248255,10.0,7,18,86.5999984741211
uniform,3.7412597386354123,10.0,9,11,86.43999481201172
distance,9.036072093224051,0.0,20,1,86.75
distance,4.643101040233417,10.0,1,7,86.64999389648438
uniform,5.618830083221226,0.0,1,7,86.62999725341797
distance,10.0,0.0,1,5,86.5999984741211
distance,8.052852466790005,0.0,3,1,86.73999786376953
distance,0.0,0.0,20,1,76.94000244140625
uniform,5.392017259183311,10.0,12,14,86.56999969482422
uniform,6.787742359255487,10.0,1,9,86.93999481201172
uniform,1.8654871424486559,0.0,1,8,86.35999298095703
uniform,6.642930093485825,0.0,1,9,86.98999786376953
uniform,6.866055842467854,0.0,1,8,86.75999450683594
uniform,6.4830577476576225,10.0,1,9,86.98999786376953
uniform,6.58540786935971,0.0,1,10,86.79999542236328
distance,10.0,0.0,1,16,86.55999755859375
uniform,6.390234476749706,0.0,1,8,86.72999572753906
distance,10.0,0.0,20,17,86.32999420166016
uniform,10.0,0.0,20,3,86.32999420166016
uniform,6.600535812164063,10.0,1,9,86.98999786376953
uniform,3.958142188781881,0.0,1,16,86.72999572753906
distance,6.60442431621207,9.999999999999998,1,9,86.97999572753906
uniform,7.7001375730916894,0.0,1,15,86.57999420166016
uniform,3.4591622145400587,0.0,20,15,86.28999328613281
uniform,3.7137560122324365,10.0,1,3,86.45999908447266
uniform,8.672195854500956,0.0,1,9,86.78999328613281
distance,8.955104272442483,0.0,1,13,86.56999969482422
distance,10.0,10.0,1,13,86.53999328613281
uniform,5.14117406674634,9.999999999999998,1,7,86.65999603271484
distance,2.325824671287121,0.0,1,10,86.62999725341797
distance,6.576277429273722,9.999999999999998,20,3,86.56999969482422
uniform,4.051822986501073,0.0,1,9,86.81999969482422
distance,1.3609632756914825,9.999999999999998,1,12,86.1399917602539
distance,8.86555050487034,10.0,1,11,86.38999938964844
distance,2.105717713984958,0.0,1,18,86.3499984741211
distance,3.93259594225208,10.0,1,15,86.5999984741211
distance,10.0,0.0,1,3,86.30999755859375
uniform,10.0,0.0,1,7,86.63999938964844
uniform,10.0,0.0,1,14,86.41999816894531
uniform,1.967754870445408,0.0,20,3,86.18999481201172
distance,2.5154404508357042,0.0,20,17,86.18999481201172
distance,4.949822960317227,0.0,1,6,86.82999420166016
distance,8.294206092532097,0.0,1,15,86.53999328613281
uniform,6.587877477621502,7.781654954384983,1,9,86.95999908447266
distance,10.0,10.0,1,8,86.70999908447266
uniform,6.634792301945071,10.0,1,9,86.9699935913086
distance,10.0,0.0,1,10,86.68999481201172
distance,6.809848194598816,10.0,1,9,86.93000030517578
uniform,4.381243921411587,0.0,1,7,86.67999267578125
uniform,6.6273990530334,9.999999999999998,1,9,86.9699935913086
distance,8.94720544206601,0.0,1,7,86.6199951171875
distance,6.7787620354348626,10.0,10,15,86.63999938964844
distance,8.736180126871556,0.0,20,15,86.27999877929688
distance,6.633603609905712,0.0,1,9,86.97999572753906
uniform,2.9823691818924596,0.0,1,10,86.7199935913086
distance,6.362315234340384,10.0,1,9,86.97999572753906
distance,5.413303961420066,0.0,1,9,86.88999938964844
distance,5.098342139336181,0.0,1,10,86.72999572753906
distance,7.390537107311736,0.0,1,9,86.8499984741211
distance,5.803881266236928,10.0,1,8,86.7199935913086
distance,1.2441673323927398,0.0,20,13,85.16999816894531
uniform,4.806190491622963,10.0,20,4,86.57999420166016
distance,6.486461198853971,10.0,1,9,86.98999786376953
distance,5.856542641632522,10.0,10,14,86.43999481201172
uniform,4.9516567268635745,0.0,6,13,86.68999481201172
uniform,6.483191280093155,10.0,4,9,86.85999298095703
distance,6.961301501981567,0.0,1,15,86.60999298095703
distance,6.447051883639557,0.0,1,9,86.98999786376953
uniform,7.325765853736708,0.0,20,14,86.31999206542969
uniform,2.09063212499337,0.0,12,1,86.38999938964844
uniform,5.638096907468931,10.0,20,3,86.48999786376953
uniform,7.613889547571341,10.0,1,3,86.43999481201172
uniform,6.577874573519927,0.0,8,16,86.60999298095703
distance,1.9820184083936763,0.0,1,3,86.20999908447266
uniform,4.516398466486284,0.0,20,13,86.10999298095703
uniform,7.033352841823857,10.0,1,20,86.38999938964844
distance,6.313353835344035,0.0,1,4,86.64999389648438
uniform,5.411324649977041,10.0,4,17,86.70999908447266
uniform,4.244437484486948,0.0,20,3,86.38999938964844
distance,3.9367459098778186,10.0,1,18,86.55999755859375
distance,9.463746086358881,0.0,1,9,86.69999694824219
distance,8.72093579710424,9.999999999999998,20,1,86.68999481201172
distance,8.054550666206469,0.0,11,14,86.37999725341797
uniform,2.996317978934119,10.0,8,15,86.63999938964844
distance,4.522331022045404,0.0,1,15,86.62999725341797
distance,5.28999356368241,0.0,1,8,86.75999450683594
uniform,5.605950869472539,0.0,1,9,86.87999725341797
distance,6.059188090129527,0.0,1,9,86.93000030517578
distance,6.490158485914284,4.342914732165895,1,9,86.9699935913086
distance,6.713349677598215,0.0,20,17,86.35999298095703
uniform,2.450560726245317,9.999999999999998,1,11,86.52999877929688
distance,7.655211345956267,10.0,1,17,86.60999298095703
uniform,5.382617539648752,0.0,4,10,86.66999816894531
uniform,6.451631181663437,0.0,1,9,86.98999786376953
uniform,6.291929062251166,0.0,1,9,86.97999572753906
uniform,6.4866770496965875,0.0,1,9,86.97999572753906
uniform,8.481072109904092,10.0,1,14,86.55999755859375
distance,6.1591747240135755,0.0,1,10,86.79999542236328
uniform,8.275581845075275,0.0,20,18,86.28999328613281
distance,10.0,0.0,1,7,86.63999938964844
uniform,9.181131642336647,10.0,1,8,86.03999328613281
uniform,2.332297372008918,0.0,1,20,86.38999938964844
distance,7.792787924182686,10.0,20,19,86.30999755859375
distance,8.375581683366265,0.0,1,10,86.75
distance,3.396902116200465,0.0,1,10,86.79999542236328
distance,2.9825886781995443,10.0,1,10,86.72999572753906
uniform,10.0,10.0,1,18,86.33999633789062
uniform,7.3813466914804415,10.0,1,9,86.8699951171875
distance,2.916198623516198,10.0,1,3,86.41999816894531
distance,4.2010940958882435,0.0,10,20,86.65999603271484
distance,9.516878516326916,0.0,1,11,86.53999328613281
distance,3.464202982766682,0.0,6,16,86.70999908447266
distance,6.38561641717579,0.0,1,9,86.9699935913086
distance,5.806238378750339,0.0,1,17,86.68999481201172
uniform,5.010236483588004,0.0,9,5,85.6399917602539
distance,5.879490447818368,10.0,20,6,85.48999786376953
distance,6.53132345284268,10.0,9,3,86.39999389648438
uniform,7.6055234377141,0.0,8,10,86.45999908447266
distance,10.0,10.0,10,16,86.42999267578125
distance,2.898521909299811,0.0,9,11,86.37999725341797
uniform,7.410508270658484,0.0,20,3,86.43999481201172
distance,6.392088851900461,0.0,7,13,86.58999633789062
uniform,5.138548026769733,0.0,6,15,86.66999816894531
distance,2.489184478588398,10.0,10,20,86.4699935913086
distance,5.830779695221433,9.999999999999998,1,5,86.79999542236328
uniform,3.3418605902311933,0.0,10,20,86.58999633789062
distance,4.2685344971163515,0.0,1,5,86.68999481201172
distance,2.6059929457071362,0.0,8,16,86.50999450683594
uniform,4.683785482670421,0.0,1,18,86.60999298095703
uniform,4.435829662973659,10.0,20,16,86.3499984741211
distance,4.035166825003817,10.0,8,1,86.7699966430664
distance,9.201731946834673,10.0,20,17,84.45999908447266
uniform,8.422769146469971,0.0,20,13,86.03999328613281
distance,4.401749195980261,0.0,1,3,86.40999603271484
distance,10.0,0.0,20,14,86.1199951171875
distance,8.706602519069836,0.0,16,2,86.33999633789062
uniform,5.816283364508311,0.0,20,17,86.43999481201172
distance,4.8740478691124185,10.0,20,3,86.58999633789062
uniform,6.332150204265037,10.0,10,20,86.68999481201172
uniform,6.546834979246462,0.0,1,9,86.98999786376953
distance,0.0,0.0,1,14,77.34000396728516
distance,1.7133057357849635,10.0,1,10,86.43999481201172
distance,1.8833027223492824,10.0,9,12,85.97999572753906
distance,1.6865413003141236,10.0,1,20,86.20999908447266
uniform,3.2777898656662403,0.0,1,15,86.5999984741211
distance,5.717083477526951,0.0,5,13,86.75
uniform,2.064816611239705,10.0,1,5,86.4699935913086
uniform,6.3407265523654885,10.0,1,9,86.97999572753906
distance,3.0716942325980217,10.0,1,6,86.82999420166016
uniform,3.294513298494832,0.0,1,5,86.70999908447266
distance,3.6461467591365446,10.0,1,6,86.77999877929688
uniform,7.149649345821621,10.0,1,16,86.67999267578125
distance,3.3523723949452053,0.0,20,20,86.2199935913086
uniform,7.081938656105132,0.0,1,9,86.89999389648438
uniform,3.2676685643633823,10.0,1,6,86.79999542236328
uniform,1.7584266556068413,10.0,20,17,85.92999267578125
uniform,4.553932996376985,0.0,1,9,86.8499984741211
uniform,3.900286763193686,10.0,9,16,86.6199951171875
uniform,6.557185353287608,0.0,1,9,86.98999786376953
uniform,10.0,0.0,9,18,86.47999572753906
distance,4.30447266893088,0.0,1,10,86.68999481201172
uniform,8.412817651342626,0.0,1,6,86.83999633789062
uniform,7.79654265167404,0.0,9,18,86.73999786376953
uniform,8.018376804194162,0.0,11,16,86.3499984741211
uniform,7.600770785067862,0.0,9,20,86.64999389648438
